Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Yearly Income,Per Capita Inc,User,Total_Credit_Limit,Num_Cards,CUR,Txn_Count,Total_Spend,Mean_Txn,Std_Txn,Max_Txn,CL_Quintile
Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,$29278,$59696,127613.0,787,5,59696.0,29278.0,0,105105.0,5,100.0,19963,1622991.69,81.299989480539,94.15673480440253,1409.4,5
Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,,Little Neck,NY,11363,40.76,-73.74,$37891,$77254,191349.0,701,5,77254.0,37891.0,1,65183.0,5,100.0,8919,723491.8900000001,81.1180502298464,156.77590108775775,3750.6,4
Saanvi Lee,81,67,1938,11,Female,766 Third Drive,,West Covina,CA,91792,34.02,-117.89,$22681,$33483,196.0,698,5,33483.0,22681.0,2,133340.0,5,0.14699265036748163,41978,1475933.36,35.159687455333746,54.29790550091375,1195.57,5
Everlee Clark,63,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,$163145,$249925,202328.0,722,4,249925.0,163145.0,3,356324.0,4,56.78202983801259,10117,1186497.51,117.27760304438074,268.6411943514937,6820.2,5
Kyle Peterson,43,70,1976,9,Male,9620 Valley Stream Drive,,San Francisco,CA,94117,37.76,-122.44,$53797,$109687,183855.0,675,1,109687.0,53797.0,4,34900.0,1,100.0,18542,1798790.91,97.01169830654729,138.61582566985763,3613.22,3
Aldo Walker,42,70,1977,10,Male,58 Birch Lane,6.0,Davenport,IA,52803,41.55,-90.6,$20599,$41997,0.0,704,3,41997.0,20599.0,5,47287.0,3,0.0,21688,1272420.1,58.66931482847658,51.02645103222123,1242.33,4
Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street,1.0,Louisville,KY,40299,38.22,-85.74,$25258,$51500,102286.0,672,3,51500.0,25258.0,6,67917.0,3,100.0,28237,1010734.23,35.794674717569144,74.59352888346709,1436.1,5
Ryland Howard,26,67,1993,12,Male,1941 Ninth Street,10.0,Portland,OR,97214,45.51,-122.64,$26790,$54623,114711.0,728,1,54623.0,26790.0,7,17480.0,1,100.0,236,12629.18,53.513474576271186,50.684219912087144,281.93,2
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,2895.0,755,5,42509.0,26273.0,8,103932.0,5,2.785475118346611,23370,1578388.6600000001,67.53909542148054,86.59447992925477,1927.36,5
Sawyer Butler,34,60,1986,1,Female,887 Grant Street,,Abbeville,LA,70510,29.97,-92.12,$18730,$38190,81262.0,810,1,38190.0,18730.0,9,9496.0,1,100.0,18284,390637.55000000005,21.364993983810987,70.88152968963804,1416.58,1
Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane,10.0,Fair Oaks,CA,95628,38.65,-121.25,$27548,$56164,15224.0,761,2,56164.0,27548.0,10,44140.0,2,34.49025826914364,94,6108.719999999998,64.98638297872338,47.89058368892676,261.23,4
Elliot Edwards,29,63,1990,9,Female,8677 Littlewood Lane,,Greeley,CO,80634,40.42,-104.74,$22427,$45727,94016.0,629,1,45727.0,22427.0,11,26019.0,1,100.0,131,7121.49,54.36251908396947,51.98209602733112,213.91,2
Romina Garcia,18,67,2002,1,Female,829 Fourth Boulevard,,Cranston,RI,2921,41.76,-71.48,$33914,$69149,89214.0,776,1,69149.0,33914.0,12,25845.0,1,100.0,71,2235.94,31.49211267605634,47.754055470153105,129.63,2
Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,,Traverse City,MI,49686,44.75,-85.6,$20325,$41442,78833.0,712,3,41442.0,20325.0,13,28449.0,3,100.0,7313,302590.27999999997,41.37703815123752,98.73514152963254,1308.24,3
Poppy Flores,48,62,1971,5,Female,781 East Street,,San Antonio,TX,78207,29.45,-98.5,$10059,$20513,32509.0,599,1,20513.0,10059.0,14,4147.0,1,100.0,11396,703747.0,61.753861003861005,40.998157149720804,475.0,1
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,5079.0,723,6,23123.0,11342.0,15,29278.0,6,17.34749641368946,14578,361672.76,24.809491013856498,47.91154747346604,726.96,3
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,38333.0,719,6,36497.0,17898.0,16,85303.0,6,44.93745823710772,14014,697301.48,49.757491080348224,76.16629433637075,1734.22,5
Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,16803.0,660,4,27484.0,21950.0,17,84046.0,4,19.99262308735692,6786,393544.85,57.993641320365455,109.17670164521526,908.75,5
Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635.0,Charlotte,NC,28269,35.19,-80.83,$26481,$53995,89056.0,683,3,53995.0,26481.0,18,40314.0,3,100.0,147,8309.01,56.52387755102041,83.47038869183466,331.34,3
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,55369.0,661,5,35602.0,17460.0,19,36062.0,5,100.0,49584,2184763.96,44.0618739916102,66.44024799535312,1367.9,3
Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6.0,Helena,GA,31037,32.07,-82.91,$12321,$25122,43205.0,819,3,25122.0,12321.0,20,23444.0,3,100.0,121,6964.26,57.55586776859504,53.46834269479436,176.97,2
Grayson Diaz,18,65,2002,1,Male,970 Essex Drive,39.0,Portola Valley,CA,94028,37.37,-122.21,$106305,$216740,0.0,700,2,216740.0,106305.0,21,145637.0,2,0.0,266,19933.82,74.93917293233082,129.96595551643873,1269.25,5
Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,$19524,$41109,21486.0,698,2,41109.0,19524.0,22,16988.0,2,100.0,16458,507074.56,30.81021752339288,79.44034374105364,2573.48,2
Roland King,70,64,1949,4,Male,5073 Wessex Avenue,,Tyronza,AR,72386,35.49,-90.35,$14172,$26858,11245.0,712,2,26858.0,14172.0,23,32232.0,2,34.88768925291635,9033,306243.15,33.9027067419462,67.70897332052182,904.82,3
Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,,Central Point,OR,97502,42.39,-122.93,$17131,$34929,63849.0,714,1,34929.0,17131.0,24,12100.0,1,100.0,74,3424.6299999999997,46.27878378378378,45.00417848326144,283.75,1
Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,$16829,$34317,61826.0,610,3,34317.0,16829.0,25,33681.0,3,100.0,9631,574341.59,59.63467864188557,80.12198485292886,1248.95,3
Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue,7043.0,Houston,TX,77061,29.76,-95.38,$15389,$31377,59615.0,722,2,31377.0,15389.0,26,21401.0,2,100.0,10978,447640.42,40.776135908179995,79.92427942576377,1491.92,2
Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,,Van Nuys,CA,91411,34.17,-118.46,$21402,$43638,104052.0,627,1,43638.0,21402.0,27,17816.0,1,100.0,6608,240931.82,36.460626513317195,83.83146203218531,946.27,2
Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue,8.0,Cookeville,TN,38501,36.15,-85.5,$15955,$32531,38260.0,766,2,32531.0,15955.0,28,27207.0,2,100.0,11842,586203.6699999999,49.50208326296233,63.522102033261035,1257.14,2
Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,72801.0,739,4,42120.0,20657.0,29,70587.0,4,100.0,15661,428417.0,27.3556605580742,67.21334743770366,1075.38,5
Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive,6.0,Columbus,OH,43230,39.98,-82.98,$28092,$57281,89114.0,850,1,57281.0,28092.0,30,74.0,1,100.0,130,2991.1800000000003,23.009076923076925,19.034944038072297,71.68,1
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,87923.0,783,4,38390.0,18828.0,31,76670.0,4,100.0,14088,611191.1799999999,43.38381459398069,98.53887423783225,2775.67,5
Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,,Southport,NC,28461,33.92,-78.02,$17498,$35670,58182.0,751,2,35670.0,17498.0,32,17700.0,2,100.0,1766,60660.78,34.34925254813137,90.00412436885921,1040.59,2
Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,,Old Saybrook,CT,6475,41.29,-72.36,$30281,$61746,154817.0,637,2,61746.0,30281.0,33,32415.0,2,100.0,2106,82994.43000000001,39.40856125356126,100.42244213803528,1336.33,3
Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,$21331,$43496,114563.0,765,3,43496.0,21331.0,34,54260.0,3,100.0,39655,969024.8300000001,24.436384566889423,57.488749503571896,1198.09,4
Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,,Sacramento,CA,95829,38.48,-121.34,$25431,$51854,72162.0,737,2,51854.0,25431.0,35,10880.0,2,100.0,18279,926813.79,50.70374692269818,89.7517493878108,1546.44,1
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,22641.0,793,5,34540.0,16942.0,36,59659.0,5,37.95068640104595,11272,393946.37,34.94911018452803,76.7685687971388,843.13,4
Nehemiah Turner,46,62,1973,11,Male,8738 Fourth Street,,Hanover Park,IL,60133,41.97,-88.14,$20248,$41287,88151.0,662,1,41287.0,20248.0,37,23700.0,1,100.0,3662,156888.71,42.84235663571818,82.5440309001026,754.28,2
Simon Adams,46,70,1973,10,Male,9344 Mill Drive,,Seaside,CA,93955,36.62,-121.82,$18663,$38054,63293.0,666,1,38054.0,18663.0,38,700.0,1,100.0,1801,105816.15000000001,58.754108828428656,111.56936152796239,1103.96,1
Sunny King,59,62,1961,2,Female,299 11th Street,,Northborough,MA,1532,42.31,-71.64,$39418,$80371,108499.0,822,1,80371.0,39418.0,39,7488.0,1,100.0,36970,3122577.97,84.46248228293211,94.81324996324868,1864.41,1
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,2149.0,741,7,84694.0,51642.0,40,255981.0,7,0.839515432786027,20872,1413798.0899999999,67.73658921042545,85.85322683820502,2187.0,5
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,14272.0,706,5,37503.0,23608.0,41,66396.0,5,21.495270799445752,16908,534916.24,31.63687248639697,65.42420007943282,1478.49,5
Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,,Chandler,AZ,85226,33.27,-111.94,$32056,$65357,21844.0,685,4,65357.0,32056.0,42,71516.0,4,30.544213882208176,30392,1259387.1099999999,41.43811233219268,92.06489085247689,1571.43,5
Leslie Myers,26,52,1994,1,Female,613 Little Creek Lane,848.0,Immokalee,FL,34142,26.41,-81.42,$10819,$22066,38967.0,842,1,22066.0,10819.0,43,9090.0,1,100.0,63,2453.01,38.93666666666667,48.45512504221966,227.3,1
Joaquin Parker,42,66,1977,11,Male,1942 Rose Avenue,,Port Orange,FL,32128,29.1,-81.0,$21916,$44681,42011.0,770,3,44681.0,21916.0,44,41542.0,3,100.0,22600,682850.1400000001,30.214607964601775,66.0046776280618,1933.87,3
Butch Brooks,26,69,1994,2,Male,5101 Birch Lane,,Maryland Heights,MO,63043,38.72,-90.47,$25163,$51306,68198.0,675,1,51306.0,25163.0,45,18100.0,1,100.0,58,2342.76,40.39241379310345,49.509164679653516,225.09,2
Kiera Allen,18,59,2002,2,Female,7 11th Drive,,San Antonio,TX,78210,29.45,-98.5,$12677,$25847,46379.0,568,1,25847.0,12677.0,46,7200.0,1,100.0,95,4787.599999999999,50.395789473684204,114.22963790521129,1055.09,1
Lylah Peres,60,64,1959,11,Female,2468 Spruce Drive,78.0,Longwood,FL,32750,28.7,-81.34,$22896,$46683,93126.0,788,5,46683.0,22896.0,47,62290.0,5,100.0,37968,1065138.8800000001,28.05359460598399,47.06585305409491,2060.2,4
Ty Jackson,61,66,1958,11,Male,8001 Essex Boulevard,,Milwaukee,WI,53210,43.06,-87.96,$15487,$31579,52419.0,771,3,31579.0,15487.0,48,35151.0,3,100.0,21612,877034.21,40.58089070886545,63.374761315166275,846.82,3
Bodhi Nguyen,47,65,1972,10,Male,708 George Street,,Camilla,GA,31730,31.22,-84.21,$13759,$28055,12475.0,829,3,28055.0,13759.0,49,13458.0,3,92.69579432307921,12541,250847.97,20.002230284666293,61.740028733682635,1067.46,1
Chaya Howard,42,68,1977,12,Female,28 Hillside Boulevard,4.0,Canton,MI,48188,42.3,-83.48,$32078,$65403,80057.0,784,4,65403.0,32078.0,50,106862.0,4,74.91624712245701,25831,965645.63,37.383207386473615,61.043077597420265,2554.95,5
Kyleigh Rogers,55,73,1964,11,Female,446 Birch Drive,,La Follette,TN,37766,36.37,-84.12,$13522,$27572,59404.0,797,1,27572.0,13522.0,51,14695.0,1,100.0,8658,185597.17,21.436494571494574,45.97222905033622,510.14,1
Mikaela Martin,48,70,1971,12,Female,578 Maple Avenue,,Inman,SC,29349,35.05,-82.09,$18899,$38539,0.0,850,3,38539.0,18899.0,52,47750.0,3,0.0,23152,860570.12,37.17044402211472,46.844657451498655,868.95,4
Luella Perry,41,57,1978,7,Female,14 Valley Drive,,Poca,WV,25159,38.47,-81.81,$18666,$38059,68220.0,634,2,38059.0,18666.0,53,19847.0,2,100.0,20517,909438.2899999999,44.32608519764098,68.73665089883401,1310.63,2
Lainey Gutierrez,59,68,1960,11,Female,2475 Little Creek Boulevard,,Leander,TX,78641,30.56,-97.86,$25872,$52754,38191.0,693,5,52754.0,25872.0,54,88680.0,5,43.06608028867839,14202,812912.5900000001,57.23930361920857,92.86950841908093,1701.62,5
Marvin Anwar,45,59,1975,2,Male,9604 Catherine Drive,,Rego Park,NY,11374,40.72,-73.86,$25109,$51196,67164.0,631,4,51196.0,25109.0,55,38782.0,4,100.0,36328,1596299.77,43.94130615503193,54.983887816631565,3590.33,3
